title,url,published_date,category,source
"Desa Sumberejo Gelar Semarak Selamatan ke-116, Hadirkan Ragam Kesenian dan Ritual Adat Selama 6 Pekan",https://beritamalang.media/desa-sumberejo-gelar-semarak-selamatan-ke-116-hadirkan-ragam-kesenian-dan-ritual-adat-selama-6-pekan/,"June 17, 2026","Berita,,,Ragam",beritamalang_media
Polres Batu Gelar Layanan On the Spot di CFD Sambut Hari Bhayangkara ke-80,https://beritamalang.media/polres-batu-gelar-layanan-on-the-spot-di-cfd-sambut-hari-bhayangkara-ke-80/,"June 14, 2026",Berita,beritamalang_media
"Cegah Kebutaan Sejak Dini, Klinik Mata Batu Ajak Warga Cek Kesehatan Mata di CFD",https://beritamalang.media/cegah-kebutaan-sejak-dini-klinik-mata-batu-ajak-warga-cek-kesehatan-mata-di-cfd/,"June 14, 2026",Berita,beritamalang_media
Satlantas Polres Batu Buka Layanan SIM dan Samsat Keliling Spesial di CFD HUT Bhayangkara ke-80,https://beritamalang.media/satlantas-polres-batu-buka-layanan-sim-dan-samsat-keliling-spesial-di-cfd-hut-bhayangkara-ke-80/,"June 14, 2026",Berita,beritamalang_media
"31 Anak Terpilih Jadi Anggota Pocil Polres Batu, Siap Wakili Kota Batu di Lomba Polda Juni 2026",https://beritamalang.media/31-anak-terpilih-jadi-anggota-pocil-polres-batu-siap-wakili-kota-batu-di-lomba-polda-juni-2026/,"June 14, 2026",Berita,beritamalang_media
"Sambut HUT Bhayangkara ke-80, Polres Batu Buka Layanan SIM dan Pajak di CFD",https://beritamalang.media/sambut-hut-bhayangkara-ke-80-polres-batu-buka-layanan-sim-dan-pajak-di-cfd/,"June 12, 2026",Berita,beritamalang_media
"Kebakaran Pabrik di Junrejo Batu Dipadamkan Setelah 3 Jam, Dugaan Awal dari Mesin Produksi Sirup",https://beritamalang.media/kebakaran-pabrik-di-junrejo-batu-dipadamkan-setelah-3-jam-dugaan-awal-dari-mesin-produksi-sirup/,"June 12, 2026",Berita,beritamalang_media
Satresnarkoba Polres Batu Gencarkan Edukasi Anti-Narkoba untuk Siswa SD,https://beritamalang.media/satresnarkoba-polres-batu-gencarkan-edukasi-anti-narkoba-untuk-siswa-sd/,"June 12, 2026",Berita,beritamalang_media
"Ngopi Bareng Media, Kasat Reskrim Batu Bahas Kemitraan Lawan Hoax",https://beritamalang.media/ngopi-bareng-media-kasat-reskrim-batu-bahas-kemitraan-lawan-hoax/,"June 9, 2026",Berita,beritamalang_media
AKP Kevin Ibrahim Pamit dari Polres Batu: Tinggalkan Kenangan dan Harapan Lalu Lintas Lancar,https://beritamalang.media/akp-kevin-ibrahim-pamit-dari-polres-batu-tinggalkan-kenangan-dan-harapan-lalu-lintas-lancar/,"June 3, 2026",Berita,beritamalang_media
"Sertijab Pejabat Utama Polres Batu, AKBP Aris Pesan Kamtibmas Kota Wisata Harus Siaga",https://beritamalang.media/sertijab-pejabat-utama-polres-batu-akbp-aris-pesan-kamtibmas-kota-wisata-harus-siaga/,"June 3, 2026",Berita,beritamalang_media
Fasilitas Baru Dongkrak Kunjungan Selecta Tembus 5.700 Orang Sehari,https://beritamalang.media/fasilitas-baru-dongkrak-kunjungan-selecta-tembus-5-700-orang-sehari/,"June 2, 2026","Berita,,,Bisnis,,,Kuliner,,,Wisata",beritamalang_media
"7 Cafe Batu Hadirkan Kopi + Pitutur Jawa, Ramai Dikunjungi 150 Orang Per Hari",https://beritamalang.media/7-cafe-batu-hadirkan-kopi-pitutur-jawa-ramai-dikunjungi-150-orang-per-hari/,"May 31, 2026","Berita,,,Bisnis,,,Kuliner",beritamalang_media
"Wisata ke Kota Batu Aman, Polres Gencar Patroli + Sosialisasi Call 110",https://beritamalang.media/wisata-ke-kota-batu-aman-polres-gencar-patroli-sosialisasi-call-110/,"May 30, 2026",Berita,beritamalang_media
"Lippo Plaza Batu Peduli, 320 Paket Daging Kurban Dibagikan kepada Warga dan Driver Ojol",https://beritamalang.media/lippo-plaza-batu-peduli-320-paket-daging-kurban-dibagikan-kepada-warga-dan-driver-ojol/,"May 28, 2026","Berita,,,Ragam",beritamalang_media
DPC PDI Perjuangan Kota Batu Terima 5 Ekor Sapi Kurban dari DPD Jatim,https://beritamalang.media/dpc-pdi-perjuangan-kota-batu-terima-5-ekor-sapi-kurban-dari-dpd-jatim/,"May 27, 2026",Berita,beritamalang_media
"Polres Batu Sembelih 39 Hewan Kurban, Distribusikan ke Warga dan Ponpes Sekitar",https://beritamalang.media/polres-batu-sembelih-39-hewan-kurban-distribusikan-ke-warga-dan-ponpes-sekitar/,"May 27, 2026",Berita,beritamalang_media
Polda Jawa Timur Matangkan Komunikasi Publik Lewat Rakernis Humas,https://beritamalang.media/polda-jawa-timur-matangkan-komunikasi-publik-lewat-rakernis-humas/,"May 21, 2026",Berita,beritamalang_media
"Kekerasan Terhadap Jurnalis Saat Liputan, Pengacara Desak Penangkapan Pelaku",https://beritamalang.media/kekerasan-terhadap-jurnalis-saat-liputan-pengacara-desak-penangkapan-pelaku/,"May 20, 2026","Berita,,,Kriminal,,,Malang Raya",beritamalang_media
"Kasus Dugaan Penganiayaan di Kalipare Diproses, Kuasa Hukum Apresiasi Kerja Satreskrim Polres Malang",https://beritamalang.media/kasus-dugaan-penganiayaan-di-kalipare-diproses-kuasa-hukum-apresiasi-kerja-satreskrim-polres-malang/,"May 20, 2026","Berita,,,Kriminal,,,Malang Raya",beritamalang_media
"Polres Batu dan Dinas PUPR Jatim Bangun Pagar Pengaman di Jembatan Cangar, Cegah Aksi Bunuh Diri",https://beritamalang.media/polres-batu-dan-dinas-pupr-jatim-bangun-pagar-pengaman-di-jembatan-cangar-cegah-aksi-bunuh-diri/,"May 4, 2026",Berita,beritamalang_media
Mengenal Tatanan Jenggolo Manik: Filosofi Jawa yang Hidup Lewat Cerita Lisan,https://beritamalang.media/mengenal-tatanan-jenggolo-manik-filosofi-jawa-yang-hidup-lewat-cerita-lisan/,"April 27, 2026","Berita,,,Ragam",beritamalang_media
"Kasat Reskrim Polres Batu: Kasus Judi Online Lanjut, Tersangka Wajib Lapor",https://beritamalang.media/kasat-reskrim-polres-batu-kasus-judi-online-lanjut-tersangka-wajib-lapor/,"April 26, 2026","Berita,,,Kriminal",beritamalang_media
GEBER Malang Hijaukan Lawang: Ratusan Pohon Ditanam Lintas Elemen,https://beritamalang.media/geber-malang-hijaukan-lawang-ratusan-pohon-ditanam-lintas-elemen/,"April 24, 2026","Berita,,,Malang Raya",beritamalang_media
Pelatihan Karyawan AUMKes Kota Malang: Perkuat Ideologi dan Komitmen Dakwah di Era Disrupsi,https://beritamalang.media/pelatihan-karyawan-aumkes-kota-malang-perkuat-ideologi-dan-komitmen-dakwah-di-era-disrupsi/,"April 24, 2026","Berita,,,Malang Raya",beritamalang_media
Inovasi Hijau: Tiga PTN Bersatu Kembangkan Pelindung Siku dan Lutut dari Serat Rami dan Limbah Sawit,https://beritamalang.media/inovasi-hijau-tiga-ptn-bersatu-kembangkan-pelindung-siku-dan-lutut-dari-serat-rami-dan-limbah-sawit/,"April 23, 2026","Berita,,,Bisnis,,,Malang Raya",beritamalang_media
"Dibilang Nepotisme, GP Parmusi: Kepala DLH Kabupaten Malang Punya Rekam Jejak Jelas",https://beritamalang.media/dibilang-nepotisme-gp-parmusi-kepala-dlh-kabupaten-malang-punya-rekam-jejak-jelas/,"April 23, 2026","Berita,,,Malang Raya",beritamalang_media
"Jalan Tebu Maut di Kalipare: Warga Geram, Pengendara Sudah Jatuh, 10 Tahun Tak Disentuh",https://beritamalang.media/jalan-tebu-maut-di-kalipare-warga-geram-pengendara-sudah-jatuh-10-tahun-tak-disentuh/,"April 22, 2026","Berita,,,Malang Raya",beritamalang_media
Kopi Embongan Batu Jadi Wadah Baru Musisi Disabilitas Berkarya,https://beritamalang.media/kopi-embongan-batu-jadi-wadah-baru-musisi-disabilitas-berkarya/,"April 21, 2026","Berita,,,Bisnis,,,Kuliner,,,Ragam",beritamalang_media
Camat Bumiaji: Kopi Embongan Wadah Keren Musisi Disabilitas,https://beritamalang.media/camat-bumiaji-kopi-embongan-wadah-keren-musisi-disabilitas/,"April 21, 2026","Berita,,,Bisnis,,,Kuliner,,,Ragam",beritamalang_media
